TERYT Gminy,Gmina,Powiat,Województwo,Nr okręgu,Liczba komisji,Liczba uwzględnionych komisji,Komisja otrzymała kart do głosowania,Liczba wyborców uprawnionych do głosowania,Nie wykorzystano kart do głosowania,"Liczba wyborców, którym wydano karty do głosowania","Liczba wyborców, którym wysłano pakiety wyborcze","Liczba wyborców, którym wydano karty do głosowania w lokalu wyborczym oraz w głosowaniu korespondencyjnym (łącznie)",Liczba wyborców głosujących przez pełnomocnika,Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania,Liczba otrzymanych kopert zwrotnych,"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu","Liczba kopert zwrotnych, w których oświadczenie nie było podpisane","Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania","Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania",Liczba kopert na kartę do głosowania wrzuconych do urny,Liczba kart wyjętych z urny,W tym liczba kart wyjętych z kopert na kartę do głosowania,Liczba kart nieważnych,Liczba kart ważnych,Liczba głosów nieważnych,W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list,W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata,"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona",Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów,KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY,KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE,KOMITET WYBORCZY NOWA LEWICA,KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ,KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ,KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI,KOMITET WYBORCZY POLSKA JEST JEDNA,KOMITET WYBORCZY WYBORCÓW RUCHU DOBROBYTU I POKOJU,KOMITET WYBORCZY NORMALNY KRAJ,KOMITET WYBORCZY ANTYPARTIA,KOMITET WYBORCZY RUCH NAPRAWY POLSKI,KOMITET WYBORCZY WYBORCÓW MNIEJSZOŚĆ NIEMIECKA
100807.0,gm. Pabianice,pabianicki,łódzkie,11,5,5,6163.0,6273.0,901.0,5262.0,1.0,5263.0,8.0,77.0,1.0,1.0,0.0,0.0,0.0,0.0,5262.0,0.0,0.0,5262.0,77.0,36.0,25.0,16.0,5185.0,84.0,809.0,514.0,1670.0,366.0,1629.0,92.0,21.0,,,,
100901.0,gm. Działoszyn,pajęczański,łódzkie,11,8,8,8752.0,9200.0,1887.0,6865.0,6.0,6871.0,21.0,77.0,6.0,0.0,0.0,0.0,0.0,6.0,6871.0,6.0,11.0,6860.0,158.0,76.0,56.0,26.0,6702.0,102.0,1009.0,464.0,3220.0,435.0,1355.0,77.0,40.0,,,,
100902.0,gm. Kiełczygłów,pajęczański,łódzkie,11,3,3,3109.0,3128.0,735.0,2374.0,0.0,2374.0,8.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2373.0,0.0,2.0,2371.0,55.0,27.0,28.0,0.0,2316.0,25.0,333.0,133.0,1398.0,162.0,221.0,31.0,13.0,,,,
100903.0,gm. Nowa Brzeźnica,pajęczański,łódzkie,11,4,4,3314.0,3635.0,704.0,2610.0,0.0,2610.0,7.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,2608.0,0.0,0.0,2608.0,67.0,35.0,23.0,9.0,2541.0,41.0,489.0,123.0,1277.0,177.0,376.0,32.0,26.0,,,,
100904.0,gm. Pajęczno,pajęczański,łódzkie,11,9,9,8329.0,8802.0,1927.0,6402.0,1.0,6403.0,25.0,45.0,1.0,0.0,0.0,0.0,0.0,1.0,6401.0,1.0,1.0,6400.0,132.0,72.0,47.0,13.0,6268.0,78.0,1136.0,431.0,2971.0,357.0,1195.0,78.0,22.0,,,,
100905.0,gm. Rząśnia,pajęczański,łódzkie,11,7,7,3621.0,3836.0,777.0,2844.0,0.0,2844.0,6.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,2844.0,0.0,0.0,2844.0,90.0,51.0,33.0,6.0,2754.0,40.0,376.0,138.0,1641.0,213.0,310.0,27.0,9.0,,,,
100906.0,gm. Siemkowice,pajęczański,łódzkie,11,4,4,3503.0,3720.0,824.0,2679.0,0.0,2679.0,11.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2678.0,0.0,0.0,2678.0,77.0,36.0,38.0,3.0,2601.0,17.0,369.0,152.0,1623.0,164.0,249.0,16.0,11.0,,,,
100907.0,gm. Strzelce Wielkie,pajęczański,łódzkie,11,4,4,3344.0,3551.0,824.0,2520.0,2.0,2522.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,1.0,2519.0,1.0,2.0,2517.0,95.0,52.0,40.0,3.0,2422.0,21.0,602.0,85.0,1335.0,151.0,198.0,22.0,8.0,,,,
100908.0,gm. Sulmierzyce,pajęczański,łódzkie,11,5,5,3281.0,3486.0,701.0,2580.0,0.0,2580.0,6.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,2580.0,0.0,0.0,2580.0,52.0,34.0,16.0,2.0,2528.0,55.0,296.0,154.0,1474.0,170.0,328.0,37.0,14.0,,,,
101001.0,gm. Aleksandrów,piotrkowski,łódzkie,10,6,6,3237.0,3487.0,642.0,2595.0,0.0,2595.0,21.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,2595.0,0.0,0.0,2595.0,80.0,38.0,35.0,7.0,2515.0,27.0,374.0,108.0,1520.0,126.0,324.0,26.0,10.0,,,,
101002.0,gm. Czarnocin,piotrkowski,łódzkie,10,6,6,2883.0,3199.0,429.0,2454.0,1.0,2455.0,2.0,46.0,1.0,0.0,0.0,0.0,0.0,1.0,2455.0,1.0,0.0,2455.0,39.0,22.0,13.0,4.0,2416.0,27.0,443.0,107.0,1258.0,227.0,291.0,54.0,9.0,,,,
101003.0,gm. Gorzkowice,piotrkowski,łódzkie,10,10,10,6091.0,6492.0,1400.0,4690.0,0.0,4690.0,10.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,4692.0,0.0,1.0,4691.0,129.0,77.0,46.0,6.0,4562.0,75.0,679.0,231.0,2626.0,326.0,562.0,52.0,11.0,,,,
101004.0,gm. Grabica,piotrkowski,łódzkie,10,6,6,4402.0,4678.0,859.0,3543.0,3.0,3546.0,5.0,23.0,3.0,0.0,0.0,0.0,0.0,3.0,3546.0,3.0,0.0,3546.0,79.0,43.0,29.0,7.0,3467.0,63.0,589.0,124.0,1936.0,269.0,421.0,51.0,14.0,,,,
101005.0,gm. Łęki Szlacheckie,piotrkowski,łódzkie,10,4,4,2466.0,2704.0,607.0,1860.0,0.0,1860.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1858.0,0.0,2.0,1856.0,52.0,25.0,18.0,9.0,1804.0,27.0,280.0,91.0,1076.0,136.0,179.0,11.0,4.0,,,,
101006.0,gm. Moszczenica,piotrkowski,łódzkie,10,10,10,9238.0,9962.0,1741.0,7497.0,3.0,7500.0,14.0,97.0,3.0,0.0,0.0,0.0,0.0,3.0,7497.0,3.0,3.0,7494.0,125.0,60.0,42.0,23.0,7369.0,103.0,1541.0,358.0,3531.0,582.0,1093.0,129.0,32.0,,,,
101007.0,gm. Ręczno,piotrkowski,łódzkie,10,4,4,2581.0,2790.0,573.0,2008.0,0.0,2008.0,10.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0,2008.0,66.0,35.0,25.0,6.0,1942.0,35.0,304.0,104.0,1133.0,119.0,222.0,22.0,3.0,,,,
101008.0,gm. Rozprza,piotrkowski,łódzkie,10,10,10,8738.0,9336.0,1955.0,6783.0,0.0,6783.0,15.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,6783.0,0.0,0.0,6783.0,156.0,104.0,43.0,9.0,6627.0,90.0,1145.0,357.0,3659.0,465.0,826.0,64.0,21.0,,,,
101009.0,gm. Sulejów,piotrkowski,łódzkie,10,13,13,12013.0,12716.0,2439.0,9562.0,3.0,9565.0,5.0,166.0,3.0,0.0,0.0,0.0,0.0,3.0,9563.0,3.0,0.0,9563.0,187.0,112.0,56.0,19.0,9376.0,170.0,1295.0,582.0,4430.0,759.0,1976.0,133.0,31.0,,,,
101010.0,gm. Wola Krzysztoporska,piotrkowski,łódzkie,10,12,12,8442.0,9124.0,1699.0,6743.0,0.0,6743.0,5.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,6743.0,0.0,0.0,6743.0,128.0,82.0,38.0,8.0,6615.0,148.0,849.0,259.0,3827.0,523.0,864.0,97.0,48.0,,,,
101011.0,gm. Wolbórz,piotrkowski,łódzkie,10,12,12,5879.0,6200.0,1070.0,4809.0,1.0,4810.0,15.0,133.0,1.0,0.0,0.0,1.0,0.0,0.0,4809.0,0.0,0.0,4809.0,100.0,39.0,50.0,11.0,4709.0,80.0,726.0,270.0,2195.0,443.0,898.0,76.0,21.0,,,,
101101.0,gm. Dalików,poddębicki,łódzkie,11,5,5,2988.0,3277.0,499.0,2489.0,0.0,2489.0,7.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,2489.0,0.0,0.0,2489.0,76.0,33.0,37.0,6.0,2413.0,40.0,448.0,152.0,1182.0,161.0,389.0,32.0,9.0,,,,
101102.0,gm. Pęczniew,poddębicki,łódzkie,11,5,5,2590.0,2839.0,545.0,2045.0,0.0,2045.0,8.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,2045.0,0.0,0.0,2045.0,50.0,23.0,25.0,2.0,1995.0,37.0,294.0,99.0,1044.0,97.0,386.0,36.0,2.0,,,,
101103.0,gm. Poddębice,poddębicki,łódzkie,11,21,21,11089.0,12055.0,2224.0,8865.0,4.0,8869.0,12.0,180.0,4.0,0.0,0.0,0.0,0.0,4.0,8865.0,4.0,0.0,8865.0,249.0,144.0,87.0,18.0,8616.0,120.0,2195.0,551.0,3338.0,444.0,1749.0,187.0,32.0,,,,
101104.0,gm. Uniejów,poddębicki,łódzkie,11,8,8,5159.0,5624.0,978.0,4180.0,8.0,4188.0,4.0,133.0,5.0,0.0,0.0,0.0,0.0,5.0,4186.0,5.0,4.0,4182.0,106.0,44.0,52.0,10.0,4076.0,75.0,598.0,264.0,2083.0,256.0,698.0,84.0,18.0,,,,
101105.0,gm. Wartkowice,poddębicki,łódzkie,11,10,10,4596.0,4885.0,1291.0,3305.0,0.0,3305.0,11.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,3305.0,0.0,1.0,3304.0,144.0,85.0,50.0,9.0,3160.0,73.0,566.0,178.0,1661.0,211.0,408.0,54.0,9.0,,,,
101106.0,gm. Zadzim,poddębicki,łódzkie,11,6,6,3595.0,3905.0,824.0,2771.0,1.0,2772.0,3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2771.0,0.0,0.0,2771.0,78.0,41.0,29.0,8.0,2693.0,46.0,512.0,127.0,1409.0,195.0,341.0,46.0,17.0,,,,
101201.0,m. Radomsko,radomszczański,łódzkie,10,24,24,32160.0,34076.0,6894.0,25265.0,8.0,25273.0,66.0,331.0,8.0,2.0,0.0,0.0,1.0,5.0,25264.0,5.0,2.0,25262.0,347.0,194.0,110.0,43.0,24915.0,682.0,2205.0,1763.0,9410.0,1328.0,9062.0,272.0,193.0,,,,
101202.0,gm. Dobryszyce,radomszczański,łódzkie,10,4,4,3156.0,3346.0,690.0,2466.0,0.0,2466.0,7.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2466.0,0.0,0.0,2466.0,70.0,31.0,27.0,12.0,2396.0,52.0,275.0,126.0,1115.0,177.0,576.0,22.0,53.0,,,,
101203.0,gm. Gidle,radomszczański,łódzkie,10,7,7,4361.0,4666.0,1130.0,3232.0,3.0,3235.0,7.0,34.0,3.0,0.0,0.0,0.0,0.0,3.0,3232.0,3.0,0.0,3232.0,83.0,47.0,30.0,6.0,3149.0,58.0,449.0,199.0,1481.0,238.0,644.0,54.0,26.0,,,,
101204.0,gm. Gomunice,radomszczański,łódzkie,10,7,7,4204.0,4500.0,852.0,3352.0,2.0,3354.0,18.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,3351.0,0.0,0.0,3351.0,86.0,42.0,36.0,8.0,3265.0,74.0,383.0,196.0,1641.0,235.0,713.0,14.0,9.0,,,,
101205.0,gm. Kamieńsk,radomszczański,łódzkie,10,7,7,4173.0,4484.0,874.0,3298.0,4.0,3302.0,15.0,38.0,3.0,2.0,0.0,0.0,0.0,1.0,3300.0,1.0,3.0,3297.0,75.0,44.0,24.0,7.0,3222.0,72.0,331.0,161.0,1857.0,239.0,525.0,33.0,4.0,,,,
101206.0,gm. Kobiele Wielkie,radomszczański,łódzkie,10,5,5,3172.0,3400.0,816.0,2356.0,2.0,2358.0,7.0,16.0,2.0,0.0,0.0,0.0,0.0,2.0,2358.0,2.0,0.0,2358.0,67.0,35.0,24.0,8.0,2291.0,70.0,268.0,175.0,1122.0,150.0,472.0,23.0,11.0,,,,
101207.0,gm. Kodrąb,radomszczański,łódzkie,10,7,7,3222.0,3500.0,750.0,2471.0,1.0,2472.0,12.0,15.0,1.0,0.0,0.0,0.0,0.0,1.0,2473.0,1.0,1.0,2472.0,83.0,43.0,35.0,5.0,2389.0,46.0,284.0,129.0,1303.0,130.0,459.0,28.0,10.0,,,,
101208.0,gm. Lgota Wielka,radomszczański,łódzkie,10,7,7,3049.0,3253.0,655.0,2393.0,0.0,2393.0,7.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2394.0,0.0,0.0,2394.0,75.0,38.0,31.0,6.0,2319.0,68.0,293.0,104.0,1228.0,205.0,381.0,31.0,9.0,,,,
101209.0,gm. Ładzice,radomszczański,łódzkie,10,5,5,3479.0,3709.0,949.0,2530.0,0.0,2530.0,6.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,2530.0,0.0,3.0,2527.0,80.0,51.0,20.0,9.0,2447.0,52.0,278.0,145.0,1247.0,159.0,527.0,24.0,15.0,,,,
101210.0,gm. Masłowice,radomszczański,łódzkie,10,7,7,2986.0,3167.0,676.0,2310.0,0.0,2310.0,8.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,2310.0,0.0,0.0,2310.0,87.0,44.0,27.0,16.0,2223.0,50.0,227.0,134.0,1359.0,152.0,275.0,17.0,9.0,,,,
101211.0,gm. Przedbórz,radomszczański,łódzkie,10,7,7,5224.0,5495.0,1542.0,3682.0,0.0,3682.0,15.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,3682.0,0.0,5.0,3677.0,102.0,72.0,25.0,5.0,3575.0,55.0,367.0,151.0,2044.0,232.0,664.0,52.0,10.0,,,,
101212.0,gm. Radomsko,radomszczański,łódzkie,10,7,7,3986.0,4230.0,865.0,3122.0,1.0,3123.0,0.0,30.0,1.0,0.0,0.0,0.0,0.0,1.0,3123.0,1.0,0.0,3123.0,66.0,42.0,21.0,3.0,3057.0,66.0,376.0,199.0,1376.0,207.0,775.0,51.0,7.0,,,,
101213.0,gm. Wielgomłyny,radomszczański,łódzkie,10,7,7,3301.0,3528.0,911.0,2390.0,1.0,2391.0,7.0,29.0,1.0,0.0,0.0,0.0,0.0,1.0,2390.0,1.0,0.0,2390.0,86.0,40.0,28.0,18.0,2304.0,41.0,292.0,99.0,1409.0,129.0,291.0,34.0,9.0,,,,
101214.0,gm. Żytno,radomszczański,łódzkie,10,6,6,3715.0,4084.0,998.0,2717.0,0.0,2717.0,5.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,2717.0,0.0,2.0,2715.0,101.0,58.0,34.0,9.0,2614.0,49.0,241.0,146.0,1589.0,161.0,336.0,74.0,18.0,,,,
101301.0,m. Rawa Mazowiecka,rawski,łódzkie,10,9,9,11751.0,12856.0,1805.0,9936.0,3.0,9939.0,15.0,107.0,3.0,0.0,0.0,0.0,0.0,3.0,9938.0,3.0,11.0,9927.0,167.0,78.0,78.0,11.0,9760.0,113.0,1819.0,605.0,3944.0,721.0,2355.0,171.0,32.0,,,,
101302.0,gm. Biała Rawska,rawski,łódzkie,10,12,12,7965.0,8708.0,2043.0,5922.0,0.0,5922.0,3.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,5920.0,0.0,1.0,5919.0,186.0,96.0,75.0,15.0,5733.0,105.0,1080.0,249.0,2883.0,565.0,779.0,55.0,17.0,,,,
101303.0,gm. Cielądz,rawski,łódzkie,10,5,5,2751.0,3121.0,502.0,2249.0,0.0,2249.0,5.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2249.0,0.0,0.0,2249.0,69.0,35.0,28.0,6.0,2180.0,27.0,314.0,87.0,1308.0,226.0,171.0,38.0,9.0,,,,
101304.0,gm. Rawa Mazowiecka,rawski,łódzkie,10,6,6,6353.0,6853.0,1406.0,4946.0,0.0,4946.0,5.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,4947.0,0.0,2.0,4945.0,149.0,88.0,47.0,14.0,4796.0,88.0,867.0,224.0,2474.0,426.0,623.0,86.0,8.0,,,,
101305.0,gm. Regnów,rawski,łódzkie,10,2,2,1315.0,1444.0,217.0,1098.0,0.0,1098.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1098.0,0.0,2.0,1096.0,28.0,9.0,13.0,6.0,1068.0,15.0,209.0,40.0,657.0,74.0,61.0,11.0,1.0,,,,
101306.0,gm. Sadkowice,rawski,łódzkie,10,4,4,3852.0,4218.0,993.0,2859.0,1.0,2860.0,6.0,31.0,1.0,0.0,0.0,0.0,0.0,1.0,2850.0,1.0,0.0,2850.0,133.0,68.0,57.0,8.0,2717.0,71.0,406.0,82.0,1597.0,266.0,237.0,50.0,8.0,,,,
101401.0,m. Sieradz,sieradzki,łódzkie,11,28,28,30751.0,31645.0,6465.0,24283.0,23.0,24306.0,34.0,201.0,23.0,8.0,0.0,0.0,0.0,17.0,24297.0,17.0,20.0,24277.0,440.0,261.0,156.0,23.0,23837.0,513.0,3187.0,1909.0,8184.0,1477.0,8126.0,371.0,70.0,,,,
101402.0,gm. Błaszki,sieradzki,łódzkie,11,12,12,10262.0,10989.0,2562.0,7700.0,0.0,7700.0,15.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,7701.0,0.0,3.0,7698.0,194.0,104.0,73.0,17.0,7504.0,92.0,1268.0,326.0,4065.0,528.0,1056.0,145.0,24.0,,,,
101403.0,gm. Brąszewice,sieradzki,łódzkie,11,4,4,3126.0,3337.0,752.0,2374.0,1.0,2375.0,5.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,2373.0,0.0,0.0,2373.0,84.0,46.0,31.0,7.0,2289.0,45.0,288.0,72.0,1398.0,209.0,205.0,61.0,11.0,,,,
101404.0,gm. Brzeźnio,sieradzki,łódzkie,11,5,5,4569.0,4893.0,989.0,3581.0,1.0,3582.0,1.0,16.0,1.0,1.0,0.0,0.0,0.0,0.0,3581.0,0.0,0.0,3581.0,82.0,45.0,32.0,5.0,3499.0,64.0,611.0,215.0,1616.0,264.0,676.0,50.0,3.0,,,,
101405.0,gm. Burzenin,sieradzki,łódzkie,11,9,9,3940.0,4257.0,956.0,2984.0,0.0,2984.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,2984.0,0.0,0.0,2984.0,83.0,39.0,37.0,7.0,2901.0,84.0,425.0,177.0,1409.0,267.0,488.0,44.0,7.0,,,,
101406.0,gm. Goszczanów,sieradzki,łódzkie,11,7,7,3843.0,4159.0,1063.0,2780.0,0.0,2780.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2780.0,0.0,0.0,2780.0,80.0,43.0,31.0,6.0,2700.0,53.0,427.0,124.0,1513.0,204.0,300.0,55.0,24.0,,,,
101407.0,gm. Klonowa,sieradzki,łódzkie,11,5,5,2063.0,2189.0,491.0,1572.0,0.0,1572.0,6.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1572.0,0.0,0.0,1572.0,63.0,35.0,23.0,5.0,1509.0,25.0,169.0,59.0,879.0,115.0,149.0,108.0,5.0,,,,
101408.0,gm. Sieradz,sieradzki,łódzkie,11,8,8,7790.0,8219.0,1611.0,6166.0,2.0,6168.0,7.0,35.0,2.0,1.0,0.0,1.0,0.0,0.0,6167.0,0.0,0.0,6167.0,140.0,68.0,53.0,19.0,6027.0,127.0,913.0,377.0,2908.0,391.0,1200.0,98.0,13.0,,,,
101409.0,gm. Warta,sieradzki,łódzkie,11,12,12,9330.0,9669.0,2484.0,6845.0,0.0,6845.0,15.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,6844.0,0.0,3.0,6841.0,176.0,124.0,40.0,12.0,6665.0,109.0,956.0,335.0,3585.0,463.0,1094.0,104.0,19.0,,,,
101410.0,gm. Wróblew,sieradzki,łódzkie,11,4,4,4400.0,4746.0,957.0,3442.0,6.0,3448.0,0.0,28.0,6.0,2.0,0.0,0.0,0.0,4.0,3445.0,4.0,28.0,3417.0,66.0,31.0,26.0,9.0,3351.0,49.0,549.0,151.0,1822.0,232.0,431.0,110.0,7.0,,,,
101411.0,gm. Złoczew,sieradzki,łódzkie,11,7,7,5117.0,5481.0,1278.0,3837.0,16.0,3853.0,12.0,31.0,16.0,0.0,0.0,0.0,0.0,16.0,3852.0,16.0,0.0,3852.0,121.0,59.0,51.0,11.0,3731.0,82.0,551.0,217.0,1921.0,303.0,531.0,94.0,32.0,,,,
101501.0,gm. Bolimów,skierniewicki,łódzkie,10,5,5,2783.0,3134.0,433.0,2350.0,2.0,2352.0,3.0,95.0,2.0,0.0,0.0,0.0,0.0,2.0,2352.0,2.0,0.0,2352.0,60.0,32.0,24.0,4.0,2292.0,64.0,399.0,185.0,1066.0,181.0,336.0,44.0,17.0,,,,
101502.0,gm. Głuchów,skierniewicki,łódzkie,10,4,4,4044.0,4370.0,482.0,3562.0,0.0,3562.0,11.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,3560.0,0.0,0.0,3560.0,83.0,40.0,35.0,8.0,3477.0,57.0,614.0,90.0,2159.0,266.0,208.0,74.0,9.0,,,,
101503.0,gm. Godzianów,skierniewicki,łódzkie,10,2,2,1837.0,2015.0,231.0,1606.0,1.0,1607.0,0.0,24.0,1.0,0.0,0.0,0.0,0.0,1.0,1604.0,1.0,0.0,1604.0,36.0,17.0,17.0,2.0,1568.0,37.0,212.0,93.0,932.0,137.0,124.0,30.0,3.0,,,,
101504.0,gm. Kowiesy,skierniewicki,łódzkie,10,5,5,2180.0,2413.0,427.0,1753.0,0.0,1753.0,2.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,1753.0,0.0,0.0,1753.0,45.0,23.0,16.0,6.0,1708.0,34.0,286.0,179.0,756.0,166.0,261.0,25.0,1.0,,,,
101505.0,gm. Lipce Reymontowskie,skierniewicki,łódzkie,10,3,3,2314.0,2540.0,363.0,1951.0,0.0,1951.0,8.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1950.0,0.0,0.0,1950.0,50.0,28.0,17.0,5.0,1900.0,25.0,275.0,132.0,1104.0,126.0,206.0,24.0,8.0,,,,
101506.0,gm. Maków,skierniewicki,łódzkie,10,6,6,4334.0,4733.0,697.0,3636.0,0.0,3636.0,4.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,3635.0,0.0,0.0,3635.0,71.0,32.0,31.0,8.0,3564.0,58.0,539.0,184.0,1912.0,318.0,420.0,125.0,8.0,,,,
101507.0,gm. Nowy Kawęczyn,skierniewicki,łódzkie,10,4,4,2451.0,2714.0,419.0,2032.0,0.0,2032.0,2.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,2032.0,0.0,0.0,2032.0,59.0,22.0,30.0,7.0,1973.0,33.0,319.0,139.0,995.0,205.0,248.0,27.0,7.0,,,,
101508.0,gm. Skierniewice,skierniewicki,łódzkie,10,9,9,5564.0,5894.0,1061.0,4501.0,4.0,4505.0,1.0,86.0,2.0,0.0,0.0,1.0,0.0,1.0,4502.0,1.0,2.0,4500.0,100.0,66.0,28.0,6.0,4400.0,101.0,653.0,348.0,2036.0,399.0,762.0,79.0,22.0,,,,
101509.0,gm. Słupia,skierniewicki,łódzkie,10,4,4,1878.0,1971.0,223.0,1655.0,0.0,1655.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1655.0,0.0,0.0,1655.0,74.0,32.0,32.0,10.0,1581.0,33.0,219.0,91.0,938.0,120.0,133.0,36.0,11.0,,,,
101601.0,m. Tomaszów Mazowiecki,tomaszowski,łódzkie,10,28,28,42862.0,44529.0,9301.0,33551.0,18.0,33569.0,54.0,395.0,14.0,0.0,0.0,0.0,0.0,14.0,33556.0,14.0,15.0,33541.0,592.0,302.0,231.0,59.0,32949.0,580.0,4100.0,2407.0,12030.0,1984.0,11408.0,332.0,108.0,,,,
101602.0,gm. Będków,tomaszowski,łódzkie,10,4,4,2548.0,2587.0,584.0,1965.0,1.0,1966.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,1966.0,1.0,0.0,1966.0,56.0,35.0,20.0,1.0,1910.0,30.0,259.0,98.0,1039.0,200.0,247.0,30.0,7.0,,,,
101603.0,gm. Budziszewice,tomaszowski,łódzkie,10,3,3,1520.0,1659.0,251.0,1269.0,0.0,1269.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1269.0,0.0,0.0,1269.0,45.0,24.0,17.0,4.0,1224.0,15.0,170.0,57.0,678.0,103.0,181.0,17.0,3.0,,,,
101604.0,gm. Czerniewice,tomaszowski,łódzkie,10,4,4,3588.0,3898.0,676.0,2912.0,0.0,2912.0,6.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,2911.0,0.0,0.0,2911.0,107.0,64.0,36.0,7.0,2804.0,59.0,578.0,119.0,1527.0,213.0,229.0,72.0,7.0,,,,
101605.0,gm. Inowłódz,tomaszowski,łódzkie,10,4,4,2796.0,3140.0,438.0,2358.0,1.0,2359.0,6.0,69.0,1.0,0.0,0.0,0.0,0.0,1.0,2359.0,1.0,0.0,2359.0,52.0,30.0,18.0,4.0,2307.0,38.0,346.0,152.0,1065.0,145.0,526.0,23.0,12.0,,,,
101606.0,gm. Lubochnia,tomaszowski,łódzkie,10,10,10,5271.0,5344.0,1095.0,4175.0,3.0,4178.0,2.0,25.0,3.0,0.0,0.0,0.0,0.0,3.0,4178.0,3.0,2.0,4176.0,105.0,65.0,37.0,3.0,4071.0,92.0,645.0,180.0,2200.0,342.0,509.0,65.0,38.0,,,,
101607.0,gm. Rokiciny,tomaszowski,łódzkie,10,6,6,4353.0,4776.0,633.0,3720.0,5.0,3725.0,15.0,72.0,5.0,0.0,0.0,0.0,0.0,5.0,3727.0,5.0,2.0,3725.0,72.0,33.0,31.0,8.0,3653.0,83.0,526.0,285.0,1743.0,276.0,671.0,48.0,21.0,,,,
101608.0,gm. Rzeczyca,tomaszowski,łódzkie,10,4,4,3493.0,3675.0,808.0,2685.0,1.0,2686.0,0.0,24.0,1.0,0.0,0.0,0.0,0.0,1.0,2686.0,1.0,0.0,2686.0,78.0,40.0,34.0,4.0,2608.0,37.0,400.0,92.0,1649.0,186.0,214.0,26.0,4.0,,,,
101609.0,gm. Tomaszów Mazowiecki,tomaszowski,łódzkie,10,13,13,8241.0,8706.0,1399.0,6842.0,3.0,6845.0,3.0,103.0,3.0,0.0,0.0,0.0,0.0,3.0,6845.0,3.0,0.0,6845.0,147.0,86.0,56.0,5.0,6698.0,112.0,1079.0,309.0,2976.0,465.0,1659.0,87.0,11.0,,,,
